Chars: 0, Count: 0
Chars: 1, Count: 10
Chars: 2, Count: 1
Chars: 3, Count: 13
Chars: 4, Count: 790
Chars: 5, Count: 908
Chars: 6, Count: 3132
Chars: 7, Count: 2182
Chars: 8, Count: 2530
Chars: 9, Count: 249
Chars: 10, Count: 106
Chars: 11, Count: 41
Chars: 12, Count: 30
Chars: 13, Count: 2
Chars: 14, Count: 2
Chars: 15, Count: 1
Chars: 16, Count: 2
Chars: 17, Count: 0
Chars: 18, Count: 0
Chars: 19, Count: 0
Chars: 20, Count: 0
Chars: 21, Count: 1
Chars: 22, Count: 0
Chars: 23, Count: 0
Chars: 24, Count: 0
